"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",85112.8869951089,0,85112.8869951089
"var_CV","var_CV",85691.7182016928,0,85691.7182016928
"n_years","n_years",NA,0,0
"production_area","production_area",NA,0,0
"chance_high_risk","chance_high_risk",86414.5215946217,0,86414.5215946217
"Initial_investment_G","Initial_investment_G",86188.0420240175,0,86188.0420240175
"Initial_investment_I","Initial_investment_I",85876.4969332515,0,85876.4969332515
"Initial_investment_S","Initial_investment_S",85410.6863923903,0,85410.6863923903
"additional_investment_G","additional_investment_G",85944.6654148155,0,85944.6654148155
"additional_investment_I","additional_investment_I",85526.6345272401,0,85526.6345272401
"additional_investment_S","additional_investment_S",85569.0315989193,0,85569.0315989193
"labor_costs_G","labor_costs_G",84939.3481555866,0,84939.3481555866
"labor_costs_I","labor_costs_I",82422.645162427,2467.71342909451,84890.3585915215
"labor_costs_S","labor_costs_S",83600.7666369566,0,83600.7666369566
"post_processing_costs_G","post_processing_costs_G",NA,0,0
"post_processing_costs_I","post_processing_costs_I",NA,0,0
"post_processing_costs_S","post_processing_costs_S",85486.7153124131,0,85486.7153124131
"sample_number_G","sample_number_G",86009.904004033,0,86009.904004033
"sample_number_I","sample_number_I",83985.231974295,0,83985.231974295
"sample_number_S","sample_number_S",85586.8279449495,0,85586.8279449495
"lab_costs_per_sample","lab_costs_per_sample",85303.4927737431,0,85303.4927737431
"plant_value_of_discarded_plant","plant_value_of_discarded_plant",85913.9273675006,0,85913.9273675006
"plant_value_of_A1_quality","plant_value_of_A1_quality",86026.897684718,0,86026.897684718
"Number_of_saved_high_quality_plants_G","Number_of_saved_high_quality_plants_G",79275.2847348306,443.557996637463,79718.842731468
"Number_of_saved_high_quality_plants_I","Number_of_saved_high_quality_plants_I",90641.2525947382,14274.3264018191,104915.578996557
"Number_of_saved_high_quality_plants_S","Number_of_saved_high_quality_plants_S",80188.4166047445,0,80188.4166047445
"adjustment_sample_size_G","adjustment_sample_size_G",84853.6037669529,0,84853.6037669529
"adjustment_sample_size_I","adjustment_sample_size_I",85995.7289532191,0,85995.7289532191
"adjustment_sample_size_S","adjustment_sample_size_S",86170.213414665,0,86170.213414665
"resource_savings_G","resource_savings_G",85257.0089507894,0,85257.0089507894
"resource_savings_I","resource_savings_I",85893.5869922245,0,85893.5869922245
"resource_savings_S","resource_savings_S",86126.3636965716,0,86126.3636965716
